docPid,docName,left_context,context,right_context,lemma,pos,pos_head,pos_buiging,pos_conjtype,pos_dial,pos_genus,pos_getal,pos_getal_n,pos_graad,pos_lwtype,pos_naamval,pos_npagr,pos_ntype,pos_numtype,pos_pdtype,pos_persoon,pos_positie,pos_pvagr,pos_pvtijd,pos_spectype,pos_status,pos_vwtype,pos_vztype,pos_wvorm,phonetic,xmlid,begintime,endtime
WR-P-P-H-0000064234,De vinger op de zere plek," doet de televisie een flinke",duit in het zakje," . De betaalzender Canal +",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.25.s.1.w.7 p.25.s.1.w.8 p.25.s.1.w.9 p.25.s.1.w.10,"   ","   "
WR-P-P-H-0000146908,Opinie -- De Duitse les," Horst Seehofer van Beieren zijn",duit in het zakje," . De leider van de",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.4.s.1.w.11 p.4.s.1.w.12 p.4.s.1.w.13 p.4.s.1.w.14,"   ","   "
WR-P-P-H-0000174731,De lessen van Oldham," Telegraaf-columnist Rob Hoogland deed zijn",duit in het zakje," met een onversneden oproep tot",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.4.s.5.w.6 p.4.s.5.w.7 p.4.s.5.w.8 p.4.s.5.w.9,"   ","   "
WR-P-P-H-0000103660,Duurzaam beleggen is geld waard," ook de overheid doet een",duit in het zakje," . In navolging van het",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.6.s.3.w.7 p.6.s.3.w.8 p.6.s.3.w.9 p.6.s.3.w.10,"   ","   "
WR-P-P-H-0000085686,We hebben genoeg verspild!," en burger , moeten hun",duit in het zakje," doen . De overheid moet",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.13.s.2.w.15 p.13.s.2.w.16 p.13.s.2.w.17 p.13.s.2.w.18,"   ","   "
WR-P-P-H-0000148341,Blaffende honden," Premier Balkenende deed ook zijn",duit in het zakje," . "" Politici moeten ,",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.5.s.4.w.6 p.5.s.4.w.7 p.5.s.4.w.8 p.5.s.4.w.9,"   ","   "
WR-P-P-H-0000034880,Een land wordt weer bewoonbaar," en de gemeenten deden hun",duit in het zakje," . EPF figureert als een",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.5.s.2.w.12 p.5.s.2.w.13 p.5.s.2.w.14 p.5.s.2.w.15,"   ","   "
WR-P-P-H-0000156001,In Marokko," Ook een Casablancanaar heeft een",duit in het zakje," gedaan en filmde agenten die",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.8.s.2.w.6 p.8.s.2.w.7 p.8.s.2.w.8 p.8.s.2.w.9,"   ","   "
WR-P-P-H-0000024023,IVOREN TOREN," Ook de autosector doet een",duit in het zakje," . Het zijn bijna allemaal",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.2.s.2.w.6 p.2.s.2.w.7 p.2.s.2.w.8 p.2.s.2.w.9,"   ","   "
WR-P-P-H-0000101592,Baas in eigen boek," Fred Brouwers deed toen zijn",duit in het zakje," met iets wat een misdaadroman",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.8.s.1.w.7 p.8.s.1.w.8 p.8.s.1.w.9 p.8.s.1.w.10,"   ","   "
WR-P-P-H-0000076789,Oostblok in deSingel," brengen . DeSingel doet een",duit in het zakje," door vier theatervoorstellingen en één",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.3.s.2.w.4 p.3.s.2.w.5 p.3.s.2.w.6 p.3.s.2.w.7,"   ","   "
WR-P-P-H-0000042261,VOLGT OOK BELGIË?," zo bezadigde Duitse werklozen hun",duit in het zakje," . Vandaag , donderdag 5",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.2.s.3.w.12 p.2.s.3.w.13 p.2.s.3.w.14 p.2.s.3.w.15,"   ","   "
WR-P-P-H-0000045215,HET LAND GAAT TOT OP DE BODEM," verwikkelde Afghanistan brengt een flinke",duit in het zakje," . Niet dat het om",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.9.s.3.w.18 p.9.s.3.w.19 p.9.s.3.w.20 p.9.s.3.w.21,"   ","   "
WR-P-P-H-0000016394,BEURSGENOTEERD Langs de kant," , moet Electrabel een aardige",duit in het zakje," van de gemeenschap brengen .",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.5.s.1.w.12 p.5.s.1.w.13 p.5.s.1.w.14 p.5.s.1.w.15,"   ","   "
WR-P-P-H-0000060764,bekroonde vormen," Ook de Provincies doen hun",duit in het zakje," en schreven vorig jaar voor",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.1.s.2.w.6 p.1.s.2.w.7 p.1.s.2.w.8 p.1.s.2.w.9,"   ","   "
WR-P-P-H-0000105548,'De woorden hebben zoveel pretentie'," De recensenten doen ook hun",duit in het zakje," , hoor . Het is",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.62.s.2.w.6 p.62.s.2.w.7 p.62.s.2.w.8 p.62.s.2.w.9,"   ","   "
WR-P-P-H-0000078575,In de vitrine," miljoen EUR ) een stevige",duit in het zakje," . Het boekjaar 00 kondigt",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.4.s.4.w.36 p.4.s.4.w.37 p.4.s.4.w.38 p.4.s.4.w.39,"   ","   "
WR-P-P-H-0000166617,Bolkesteins nachtmerrie," zoals altijd voortijdig uitgelekte )",duit in het zakje," . Het financieringstekort moet nog",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.2.s.3.w.28 p.2.s.3.w.29 p.2.s.3.w.30 p.2.s.3.w.31,"   ","   "
WR-P-P-H-0000133077,LYCOPEEN -- Tomaat voor de prostaat ?," Misschien kunnen ketchupproducenten hier een",duit in het zakje," doen ? Want uit dierexperimenten",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.4.s.5.w.6 p.4.s.5.w.7 p.4.s.5.w.8 p.4.s.5.w.9,"   ","   "
WR-P-P-H-0000012142,Onder druk," moeten ook de overheden hun",duit in het zakje," doen . De federale regering",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.12.s.1.w.15 p.12.s.1.w.16 p.12.s.1.w.17 p.12.s.1.w.18,"   ","   "
WR-P-P-H-0000137798,"Gille Van Binst grasduint door een rijk voetbalverleden -- 'Acht op twaalf voor de Belgen, dat heb ik op school nooit gehaald'"," brand en deden zo hun",duit in het zakje," voor ons voetbal . Op",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.4.s.4.w.21 p.4.s.4.w.22 p.4.s.4.w.23 p.4.s.4.w.24,"   ","   "
WR-P-P-H-0000107785,Big Brother of on-lineboetiek?," Messenger deed wellicht een serieuze",duit in het zakje," . Deze dienst werkt immers",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.6.s.4.w.8 p.6.s.4.w.9 p.6.s.4.w.10 p.6.s.4.w.11,"   ","   "
WR-P-P-H-0000110959,Onder het nieuwe verflaagje," van de grootbanken om een",duit in het zakje," te doen voor DAT .",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.15.s.1.w.23 p.15.s.1.w.24 p.15.s.1.w.25 p.15.s.1.w.26,"   ","   "
WR-P-P-G-0000188532,Pitt en Jolie verkopen babyfoto's voor goed doel," In een poging om hun",duit in het zakje," te doen , willen Pitt",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.2.s.1.w.6 p.2.s.1.w.7 p.2.s.1.w.8 p.2.s.1.w.9,"   ","   "
WR-P-P-H-0000109770,Vlaamse KMO's in de wereldtop," Ook andere spelers zullen hun",duit in het zakje," moeten doen . Euronext kan",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.12.s.3.w.6 p.12.s.3.w.7 p.12.s.3.w.8 p.12.s.3.w.9,"   ","   "
WR-P-P-H-0000011214,BEURSGENOTEERD Staalreus," marges ) moeten ook hun",duit in het zakje," doen . In de lange",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.5.s.1.w.24 p.5.s.1.w.25 p.5.s.1.w.26 p.5.s.1.w.27,"   ","   "
WR-P-P-H-0000022471,HET SYSTEEM IS VERZIEKT," te bewegen tot hun rechtmatige",duit in het zakje," . Presidentiële decreten stellen hen",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.25.s.4.w.29 p.25.s.4.w.30 p.25.s.4.w.31 p.25.s.4.w.32,"   ","   "
WR-P-P-H-0000104630,De kabouters komen weerom," Ook het management deed zijn",duit in het zakje," om het eigen vermogen op",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.11.s.5.w.6 p.11.s.5.w.7 p.11.s.5.w.8 p.11.s.5.w.9,"   ","   "
WR-P-P-H-0000130851,Film Music Masterpieces: -- Maestros of Suspense," pauken en strijkers doet een",duit in het zakje," . Twee film-componisten wisten als",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.1.s.1.w.25 p.1.s.1.w.26 p.1.s.1.w.27 p.1.s.1.w.28,"   ","   "
WR-P-P-H-0000149019,"Liberalen aller landen, verenigt u"," rijp op de opiniepagina een",duit in het zakje," te doen . We moeten",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.3.s.3.w.22 p.3.s.3.w.23 p.3.s.3.w.24 p.3.s.3.w.25,"   ","   "
WR-P-P-H-0000112140,Verslaafd aan gratis," monetaire machine doet ook haar",duit in het zakje," . Zolang de strijd tegen",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.11.s.3.w.7 p.11.s.3.w.8 p.11.s.3.w.9 p.11.s.3.w.10,"   ","   "
WR-P-P-H-0000037766,KAN HOLLYWOOD TIBET REDDEN ?," en Björk doen allemaal hun",duit in het zakje," . Een paar jaar geleden",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.4.s.6.w.39 p.4.s.6.w.40 p.4.s.6.w.41 p.4.s.6.w.42,"   ","   "
WR-P-P-H-0000135385,de 100 beste jongeren ter wereld -- DE TOEKOMST IS AAN HEN," ook op verdedigend vlak zijn",duit in het zakje," te doen en kan het",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.68.s.2.w.14 p.68.s.2.w.15 p.68.s.2.w.16 p.68.s.2.w.17,"   ","   "
WR-P-P-H-0000148159,«Pensioenpoldermodel» onder druk," . Ook multinationals deden hun",duit in het zakje," omdat ze er enorme besparingen",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.6.s.4.w.5 p.6.s.4.w.6 p.6.s.4.w.7 p.6.s.4.w.8,"   ","   "
WR-P-P-H-0000104546,KPN," De Nederlandse staat deed een",duit in het zakje," door de geplande verkoop van",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.4.s.4.w.6 p.4.s.4.w.7 p.4.s.4.w.8 p.4.s.4.w.9,"   ","   "
WR-P-P-H-0000005949,DE MENSEN DRAAIEN DOL," de Britse regering zal een",duit in het zakje," doen . SCHADECLAIMS . Merkwaardig",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.5.s.5.w.7 p.5.s.5.w.8 p.5.s.5.w.9 p.5.s.5.w.10,"   ","   "
WR-P-P-H-0000173340,De balkonscene van willem iii," deed de Belgische pers een",duit in het zakje," na de moeizame overwinning van",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.2.s.1.w.7 p.2.s.1.w.8 p.2.s.1.w.9 p.2.s.1.w.10,"   ","   "
WR-P-P-H-0000035003,Brazilië : druk op ketel is verminderd," de Statistiek deed een positieve",duit in het zakje," met haar rapport waaruit blijkt",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.1.s.3.w.11 p.1.s.3.w.12 p.1.s.3.w.13 p.1.s.3.w.14,"   ","   "
WR-P-P-H-0000060947,Werk aan de winkel," waar hij werkt , een",duit in het zakje," doet , dan wil de",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.8.s.2.w.9 p.8.s.2.w.10 p.8.s.2.w.11 p.8.s.2.w.12,"   ","   "
WR-P-P-H-0000112877,Moet CD&V Verwilghen 'redden'?," begin van deze regeerperiode zijn",duit in het zakje," gedaan door Brice De Ruyver",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.4.s.5.w.17 p.4.s.5.w.18 p.4.s.5.w.19 p.4.s.5.w.20,"   ","   "
WR-P-P-H-0000059167,De kinderen zijn het slachtoffer," Koning Boudewijnstichting deed ook een",duit in het zakje," ( 6 miljoen ) .",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.5.s.2.w.25 p.5.s.2.w.26 p.5.s.2.w.27 p.5.s.2.w.28,"   ","   "
WR-P-P-H-0000122785,ECONOMIE JAAROVERZICHT," niet happig zijn om hun",duit in dat zakje," te doen . * Wereldwijd",duit in dat zak,"N(soort,ev,basis,zijd,stan) VZ(init) VNW(aanw,det,stan,prenom,zonder,evon) N(soort,ev,dim,onz,stan)",N VZ VNW N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.7.s.5.w.12 p.7.s.5.w.13 p.7.s.5.w.14 p.7.s.5.w.15,"   ","   "
WR-P-P-H-0000093046,Triomf van de modekoning," Ook Armani zelf doet zijn",duit in het zakje," . Insiders spreken over wel",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.3.s.6.w.6 p.3.s.6.w.7 p.3.s.6.w.8 p.3.s.6.w.9,"   ","   "
WR-P-P-H-0000171489,Kurt cobain," ook Cobains echtgenote regelmatig een",duit in dat zakje," . Op het graf van",duit in dat zak,"N(soort,ev,basis,zijd,stan) VZ(init) VNW(aanw,det,stan,prenom,zonder,evon) N(soort,ev,dim,onz,stan)",N VZ VNW N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.2.s.2.w.14 p.2.s.2.w.15 p.2.s.2.w.16 p.2.s.2.w.17,"   ","   "
WR-P-P-H-0000045183,Een ridder in de nood," ook Entertainment Weekly deed zijn",duit in het zakje," met een special over het",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.5.s.3.w.7 p.5.s.3.w.8 p.5.s.3.w.9 p.5.s.3.w.10,"   ","   "
WR-P-P-H-0000003692,MONSTERCONTRACT," De partner Emepa doet zijn",duit in het zakje," door te zorgen voor de",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.7.s.3.w.6 p.7.s.3.w.7 p.7.s.3.w.8 p.7.s.3.w.9,"   ","   "
WR-P-P-H-0000174464,Democratie in deliberatie," voelen zich gelegitimeerd ook een",duit in het zakje," te doen . Via dergelijke",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.3.s.20.w.17 p.3.s.20.w.18 p.3.s.20.w.19 p.3.s.20.w.20,"   ","   "
WR-P-P-H-0000079499,De latten liggen niet gelijk," clubs en scholen doen hun",duit in het zakje," . Door de enorme concurrentie",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.6.s.2.w.12 p.6.s.2.w.13 p.6.s.2.w.14 p.6.s.2.w.15,"   ","   "
WR-P-P-H-0000023439,BANGE INVESTEERDERS ?," ook de Vlaamse vakbonden hun",duit in het zakje," . ACV en ABVV deden",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.2.s.5.w.9 p.2.s.5.w.10 p.2.s.5.w.11 p.2.s.5.w.12,"   ","   "
WR-P-P-H-0000120357,Wereldgroeikramp," stoute banken ook een forse",duit in het zakje," mogen doen . In de",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.3.s.4.w.59 p.3.s.4.w.60 p.3.s.4.w.61 p.3.s.4.w.62,"   ","   "
WR-P-P-H-0000039352,Met dank aan graaf Dracula," met onze tien procent onze",duit in het zakje," gedaan . Het is verduiveld",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.17.s.5.w.8 p.17.s.5.w.9 p.17.s.5.w.10 p.17.s.5.w.11,"   ","   "
WR-P-P-H-0000134222,Bjarni Vidarsson {KV Mechelen} -- Viking van de maan," ook mama Vidarsson deed haar",duit in het zakje," . "" Kleren wassen en",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.7.s.1.w.25 p.7.s.1.w.26 p.7.s.1.w.27 p.7.s.1.w.28,"   ","   "
WR-P-P-H-0000067707,Ik vertrouw mijn lezers," is juist dat ik mijn",duit in het zakje," heb gedaan . Toen """,duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.10.s.3.w.7 p.10.s.3.w.8 p.10.s.3.w.9 p.10.s.3.w.10,"   ","   "
WR-P-P-H-0000104963,Wie volgt?," de staat doet weer zijn",duit in het zakje," . Godfroid moet plaatsmaken voor",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.7.s.3.w.7 p.7.s.3.w.8 p.7.s.3.w.9 p.7.s.3.w.10,"   ","   "
WR-P-P-H-0000025768,Turks licht," ) doet daarbij een stevige",duit in het zakje," . Jan Van Lierde ,",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.4.s.5.w.19 p.4.s.5.w.20 p.4.s.5.w.21 p.4.s.5.w.22,"   ","   "
WR-P-P-H-0000010791,Bastaard," eerste minister Alain Juppé een",duit in het zakje," , wil ik de aandacht",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.5.s.6.w.17 p.5.s.6.w.18 p.5.s.6.w.19 p.5.s.6.w.20,"   ","   "
WR-P-P-H-0000029927,EEN RIJKE OOM UIT AMERIKA," dit vlak wou Washington een",duit in het zakje," doen . Begin 1949 werd",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.11.s.5.w.8 p.11.s.5.w.9 p.11.s.5.w.10 p.11.s.5.w.11,"   ","   "
WR-P-P-H-0000151419,De nieuwe democratie," Ook oppositiepartij PvdA doet een",duit in het zakje," van behoud . Voorzitter van",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.37.s.5.w.6 p.37.s.5.w.7 p.37.s.5.w.8 p.37.s.5.w.9,"   ","   "
WR-P-P-H-0000148314,De Algerijnse connectie," , deed vorige week een",duit in het zakje," . In het tv-programma Frontal",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.3.s.1.w.18 p.3.s.1.w.19 p.3.s.1.w.20 p.3.s.1.w.21,"   ","   "
WR-P-P-H-0000110535,De overheid is medeverantwoordelijk," ook dat de overheid een",duit in het zakje," doet . Misschien moet ook",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.3.s.6.w.10 p.3.s.6.w.11 p.3.s.6.w.12 p.3.s.6.w.13,"   ","   "
WR-P-P-H-0000110535,De overheid is medeverantwoordelijk," beloofde dat de overheid een",duit in het zakje," zou doen . De brutale",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.7.s.5.w.22 p.7.s.5.w.23 p.7.s.5.w.24 p.7.s.5.w.25,"   ","   "
WR-P-P-H-0000108365,WWW.ard," ' Globalisering doet ook zijn",duit in het zakje," . De burger voelt zich",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.13.s.1.w.6 p.13.s.1.w.7 p.13.s.1.w.8 p.13.s.1.w.9,"   ","   "
WR-P-P-H-0000151107,Res publica in verwarring," ook vice-premier De Graaf zijn",duit in het zakje," . Volgens de klassieke leerstelling",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.6.s.9.w.8 p.6.s.9.w.9 p.6.s.9.w.10 p.6.s.9.w.11,"   ","   "
WR-P-P-H-0000098417,Geift ons mor Carnaval!," ruil voor reclame een flinke",duit in het zakje," . In die jaren reden",duit in het zak,"N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,evon) N(soort,ev,dim,onz,stan)",N VZ LID N,,,,,,,,,,,,,,,,,,,,,,,"   ",p.25.s.5.w.13 p.25.s.5.w.14 p.25.s.5.w.15 p.25.s.5.w.16,"   ","   "
